PrjUID,颱風,核列序號,工程代碼,機關名稱,復建工程名稱,鄉(鎮市),審議經費(千元),實際進度%,完工期限,發包日期,完工日期
Prj1111231247209660630,100年11月豪雨,009,H3,花蓮縣政府,光復鄉大興村農路修復工程,光復鄉,1418.00,100,2012.09.29,2012.07.17,2012.09.21
Prj1111230845030170578,100年11月豪雨,010,H3,花蓮縣政府,樂合里蕉山支線農路修復工程,玉里鎮,639,100,2012.08.09,2012.05.22,2012.08.09
Prj1111221058247800302,100年11月豪雨,011,H3,花蓮縣政府,東里村第五公墓聯外道路災修工程,富里鄉,456,100,2012.09.13,2012.07.10,2012.09.13
Prj1111220823282770009,100年11月豪雨,012,H3,花蓮縣政府,大港口農路復建工程,豐濱鄉,957,100,2012.10.01,2012.07.17,2012.10.01
Prj1111250924557920001,100年11月豪雨,013,H3,花蓮縣政府,豐南村粗溝產業道路災修工程,富里鄉,355,100,2013.01.14,2012.07.27,2013.01.14
Prj1111221010092680256,100年11月豪雨,014,H3,花蓮縣政府,吳江村12鄰過水路面及5鄰產業道路災修工程,富里鄉,435,100,2013.09.13,2012.07.10,2012.09.13
Prj1111220935477680181,100年11月豪雨,015,H3,花蓮縣政府,吳江村9鄰產業道路災修工程,富里鄉,500,100,2012.09.13,2012.07.10,2012.09.13
Prj1111212026385790031,100年11月豪雨,016,H3,花蓮縣政府,富南村11鄰農路設施災修工程,富里鄉,474,100,2013.01.14,2012.07.27,2013.01.14
Prj1111211727130640010,100年11月豪雨,017,H3,花蓮縣政府,富南村6鄰農路災修工程,富里鄉,170,100,2013.01.14,2012.07.27,2013.01.14
Prj1111231702375010058,100年11月豪雨,018,H3,花蓮縣政府,德武里4鄰往阿羅多茲產道修復工程,玉里鎮,415,100,2012.08.15,2012.06.29,2012.08.15
Prj1111221914477870536,100年11月豪雨,019,H3,花蓮縣政府,光豐公路8公里處產業道路整修工程,光復鄉,331,100,2012.09.29,2012.07.17,2012.09.21
Prj1111221814485620494,100年11月豪雨,020,H3,花蓮縣政府,達蘭埠部落農路災修工程,富里鄉,360,100,2013.01.14,2012.07.27,2013.01.14
Prj1111181630101090014,100年11月豪雨,021,H3,花蓮縣政府,蚊子山農路災修工程,豐濱鄉,472,100,2012.10.01,2012.07.17,2012.10.01
Prj1111221111449640332,100年11月豪雨,022,H3,花蓮縣政府,東里19鄰農路設施災修工程,富里鄉,58,100,2012.09.13,2012.07.10,2012.09.13
Prj1111220942435810196,100年11月豪雨,023,H3,花蓮縣政府,見晴村2鄰農產路豪雨災害改善工程,萬榮鄉,2248.00,100,2012.05.31,2012.03.26,2012.05.14
Prj1111220843025530017,100年11月豪雨,024,H3,花蓮縣政府,見晴村5鄰農產路暨西見道路災害改善工程,"萬榮鄉

萬榮鄉

萬榮鄉",825,100,2012.05.05,2012.03.19,2012.05.05
Prj1112191110319550000,100年11月豪雨,001,C1,臺東縣政府,東河鄉東23鄉道1K+60011月豪雨復建工程,東河鄉,13746.00,100,2012.11.30,2013.06.20,2013.09.05
Prj1111231629356450026,100年11月豪雨,002,C1,臺東縣政府,加羅板(198線)路面災修工程,大武鄉,1950.00,100,2012.05.31,2012.04.10,2012.05.30
Prj1112020837222390000,100年11月豪雨,003,C1,臺東縣政府,東15線災修工程,成功鎮,909,100,2012.05.31,2012.04.17,2012.05.05
Prj1112021002444390136,100年11月豪雨,004,C1,臺東縣政府,卑南鄉賓朗村東46線擋土牆災修工程,卑南鄉,3973.00,100,2012.09.24,2012.05.09,2012.09.24
Prj1112021014197630179,100年11月豪雨,005,C1,臺東縣政府,東38線道路災修工程,"卑南鄉

卑南鄉

卑南鄉",1127.00,100,2012.06.04,2012.04.27,2012.06.04
Prj1111291710556590017,100年11月豪雨,006,C1,臺東縣政府,環島公路東90線15.6K處災修等4件合併工程,"綠島鄉

綠島鄉

綠島鄉",740,100,2012.09.04,2012.06.12,2012.09.04
Prj1112191545009962422,100年11月豪雨,007,C1,臺東縣政府,蘭嶼鄉東80線 (永興農場段)箱涵災害復建工程,蘭嶼鄉,500,100,2012.05.31,2012.05.11,2012.05.28
Prj1112021033074610268,100年11月豪雨,001,G1,臺東縣政府,嘉平災害修復工程,成功鎮,264,100,2012.05.31,2012.04.17,2012.05.24
Prj1112201551119010108,100年11月豪雨,002,G1,臺東縣政府,大坡村三塊厝災修復建工程,池上鄉,597,100,2012.07.31,2012.05.07,2012.07.16
Prj1112091657581860233,100年11月豪雨,003,G1,臺東縣政府,美農村高台萬萬野溪支流災修工程,卑南鄉,200,100,2012.09.30,2012.05.30,2012.09.10
Prj1112191226358150018,100年11月豪雨,004,G1,臺東縣政府,東河鄉泰源村牧場部落11月豪雨復建工程,東河鄉,1803.00,100,2013.01.31,2012.06.05,2013.01.14
Prj1112191212227780011,100年11月豪雨,005,G1,臺東縣政府,東河鄉泰源村護岸11月豪雨復建工程,東河鄉,1227.00,100,2013.01.31,2012.06.05,2013.01.14
Prj1112091031573880058,100年11月豪雨,006,G1,臺東縣政府,嘉蘭至金峰溫泉道路災修工程,金峰鄉,48600.00,100,2013.05.01,2012.06.22,2013.05.01
Prj1112191513070672323,100年11月豪雨,007,G1,臺東縣政府,南竹湖後山產業道路災害復建工程,長濱鄉,151,100,2012.07.10,2012.05.14,2012.07.10
Prj1112191403060320079,100年11月豪雨,001,H3,臺東縣政府,東河鄉都蘭村郡界11月豪雨復建工程,"東河鄉

東河鄉",47,100,2012.08.31,2012.06.05,2012.08.31
Prj1112191437329340146,100年11月豪雨,002,H3,臺東縣政府,東河鄉都蘭村北郡界11月豪雨復建工程,"東河鄉

東河鄉

東河鄉

東河鄉",889,100,2012.08.31,2012.06.05,2012.08.31
Prj1112191517485892332,100年11月豪雨,003,H3,臺東縣政府,東河鄉都蘭村那界11月豪雨復建工程,東河鄉,63,100,2012.08.31,2012.06.05,2012.08.31
Prj1112191528064402362,100年11月豪雨,004,H3,臺東縣政府,東河鄉興昌村11月豪雨復建工程,"東河鄉

東河鄉",1243.00,100,2013.01.31,2012.06.05,2013.01.14
Prj1112191547207812445,100年11月豪雨,005,H3,臺東縣政府,東河鄉東河村11月豪雨復建工程,"東河鄉

東河鄉",529,100,2012.08.31,2012.06.05,2012.08.31
Prj1112191655324062573,100年11月豪雨,006,H3,臺東縣政府,東河鄉泰源村八甲頂11月豪雨復建工程,東河鄉,359,100,2012.08.31,2012.06.05,2012.08.31
Prj1112201052002240000,100年11月豪雨,007,H3,臺東縣政府,東河鄉泰源村果子山11月豪雨復建工程,東河鄉,2244.00,100,2013.01.31,2012.06.05,2013.01.14
Prj1112201105543280011,100年11月豪雨,008,H3,臺東縣政府,東河鄉泰源村南溪部落11月豪雨復建工程,東河鄉,115,100,2012.08.31,2012.06.05,2012.08.31
Prj1112201115585900020,100年11月豪雨,009,H3,臺東縣政府,東河鄉泰源村14鄰11月豪雨復建工程,東河鄉,125,100,2012.08.31,2012.06.05,2012.08.31
Prj1112201146016610040,100年11月豪雨,010,H3,臺東縣政府,東河鄉北源村紅菜寮部落11月豪雨復建工程,東河鄉,662,100,2012.08.31,2012.06.05,2012.08.31
Prj1112201325238710015,100年11月豪雨,011,H3,臺東縣政府,東河鄉北源村34鄰11月豪雨復建工程,東河鄉,82,100,2012.08.31,2012.06.05,2012.08.31
Prj1112201158324600054,100年11月豪雨,012,H3,臺東縣政府,東河鄉北源村順那部落11月豪雨復建工程,東河鄉,39,100,2012.08.31,2012.06.05,2012.08.31
Prj1112201206246800064,100年11月豪雨,013,H3,臺東縣政府,東河鄉北源村樟木林11月豪雨復建工程,東河鄉,410,100,2012.08.31,2012.06.05,2012.08.31
Prj1112201303342910000,100年11月豪雨,014,H3,臺東縣政府,東河鄉北源村雙溪11月豪雨復建工程,"東河鄉

東河鄉

東河鄉

東河鄉",309,100,2012.08.31,2012.06.05,2012.08.31
Prj1112080945494760000,100年11月豪雨,015,H3,臺東縣政府,大竹部落農路災修工程,大武鄉,176,100,2012.05.31,2012.04.12,2012.05.14
Prj1112021152192090313,100年11月豪雨,016,H3,臺東縣政府,南興舊部落農路災修工程,大武鄉,528,100,2012.05.31,2012.04.12,2012.05.14
Prj1112061442452133943,100年11月豪雨,017,H3,臺東縣政府,北都威產道災害修復工程,"成功鎮

成功鎮

成功鎮

成功鎮

成功鎮",3507.00,100,2013.01.31,2012.06.06,2013.01.24
Prj1112020906564850019,100年11月豪雨,018,H3,臺東縣政府,石雨傘產業道路災修工程,成功鎮,77,100,2013.01.31,2012.05.09,2012.12.24
Prj1112020928460810084,100年11月豪雨,019,H3,臺東縣政府,芝田產業道路災修工程,成功鎮,384,100,2013.01.31,2012.05.09,2012.12.24
Prj1112020914100160037,100年11月豪雨,020,H3,臺東縣政府,南美山產業道路災修工程,成功鎮,74,100,2013.01.31,2012.05.09,2012.12.24
Prj1112091052401480061,100年11月豪雨,021,H3,臺東縣政府,高台產業道路災修工程,成功鎮,1346.00,100,2013.01.31,2012.06.06,2013.01.24
Prj1112020934566190104,100年11月豪雨,022,H3,臺東縣政府,富榮產業道路災修工程,成功鎮,973,100,2013.01.31,2012.05.09,2012.12.24
Prj1112020918356860054,100年11月豪雨,023,H3,臺東縣政府,興農產業道路災修工程,成功鎮,2082.00,100,2013.04.02,2013.02.19,2013.04.02
Prj1112021013243580178,100年11月豪雨,024,H3,臺東縣政府,麒麟產業道路災修工程,成功鎮,1568.00,100,2013.01.31,2012.06.06,2013.01.24
Prj1112201151587720042,100年11月豪雨,025,H3,臺東縣政府,山棕寮農路災修工程,池上鄉,336,100,2012.07.31,2012.05.14,2012.07.09
Prj1112201343191900028,100年11月豪雨,026,H3,臺東縣政府,池上鄉泥水溪災修復建工程,池上鄉,329,100,2012.07.31,2012.05.07,2012.07.16
Prj1112201326350940016,100年11月豪雨,027,H3,臺東縣政府,振興村5鄰農路災修工程,池上鄉,852,100,2012.07.31,2012.05.14,2012.07.09
Prj1112201620172230120,100年11月豪雨,028,H3,臺東縣政府,慶豐村產業道路災修工程,池上鄉,187,100,2012.07.31,2012.05.14,2012.07.09
Prj1112020922321550064,100年11月豪雨,029,H3,臺東縣政府,利吉村12鄰產業道路擋土牆復建工程,卑南鄉,88,100,2012.09.30,2012.05.30,2012.09.10
Prj1112020852556830016,100年11月豪雨,030,H3,臺東縣政府,利吉村3~9鄰及17鄰產業道路擋土牆復建工程,卑南鄉,159,100,2012.09.30,2012.05.30,2012.09.10
Prj1112090908145600001,100年11月豪雨,031,H3,臺東縣政府,富山村杉原產業道路災修工程,卑南鄉,96,100,2012.09.30,2012.05.30,2012.09.10
Prj1112091509527140147,100年11月豪雨,032,H3,臺東縣政府,富山村漁場產業道路災修工程,卑南鄉,144,100,2012.09.30,2012.05.30,2012.09.10
Prj1112091611396950191,100年11月豪雨,033,H3,臺東縣政府,富源村10鄰產業道路災修工程-1,卑南鄉,228,100,2012.09.30,2012.05.30,2012.09.10
Prj1112091602492580173,100年11月豪雨,034,H3,臺東縣政府,富源村12鄰產業道路災修工程（共四處）,卑南鄉,1208.00,100,2012.09.30,2012.05.30,2012.09.10
Prj1112091644422390215,100年11月豪雨,035,H3,臺東縣政府,富源村7鄰產業道路災修工程（二處）,"卑南鄉

卑南鄉",288,100,2012.09.30,2012.05.30,2012.09.10
Prj1111301609488970296,100年11月豪雨,036,H3,臺東縣政府,正興農路災修工程,金峰鄉,176,100,2012.08.31,2012.07.12,2012.08.21
Prj1112191522188492351,100年11月豪雨,037,H3,臺東縣政府,八桑安產業道路災害復建工程,長濱鄉,1656.00,100,2012.10.31,2012.05.23,2012.10.01
Prj1112191402320310078,100年11月豪雨,038,H3,臺東縣政府,上田組產業道路災害復建工程,長濱鄉,2032.00,100,2012.10.31,2012.05.23,2012.10.01
Prj1112191353540200063,100年11月豪雨,039,H3,臺東縣政府,北溪產業道路災害復建工程,長濱鄉,1570.00,100,2012.12.31,2012.05.23,2012.12.19
Prj1112191536025232393,100年11月豪雨,040,H3,臺東縣政府,光榮社區後山產道災害復建工程,長濱鄉,495,100,2012.07.10,2012.05.15,2012.07.03
Prj1112191455116420224,100年11月豪雨,041,H3,臺東縣政府,竹湖7鄰產道災害復建工程,長濱鄉,654,100,2012.07.06,2012.05.14,2012.07.06
Prj1112191503103831920,100年11月豪雨,042,H3,臺東縣政府,竹湖咬人狗湖產道災害復建工程,長濱鄉,1833.00,100,2012.10.31,2012.05.23,2012.10.01
Prj1112191345350400045,100年11月豪雨,043,H3,臺東縣政府,南溪20鄰產業道路災害復建工程,長濱鄉,2747.00,100,2012.12.31,2012.05.23,2012.12.19
Prj1112191336529500021,100年11月豪雨,044,H3,臺東縣政府,南溪往20鄰聯外道路災害復建工程,長濱鄉,1375.00,100,2012.12.31,2012.05.23,2012.12.19
Prj1112191314455620000,100年11月豪雨,045,H3,臺東縣政府,南溪產業道路災害復建工程,長濱鄉,1081.00,100,2012.09.04,2012.06.28,2012.09.04
Prj1112191551166572466,100年11月豪雨,046,H3,臺東縣政府,界橋後山產業道路支線災害復建工程,長濱鄉,983,100,2012.07.07,2012.05.15,2012.07.07
Prj1112191559117062496,100年11月豪雨,047,H3,臺東縣政府,界橋產道災害復建工程,長濱鄉,4029.00,100,2012.11.10,2012.05.15,2012.11.09
Prj1112191541093092412,100年11月豪雨,048,H3,臺東縣政府,烏石鼻產業道路災害復建工程,長濱鄉,1667.00,100,2012.11.10,2012.05.15,2012.11.09
Prj1112191416396580105,100年11月豪雨,049,H3,臺東縣政府,齒草埔往移民產業道路災害復建工程,長濱鄉,181,100,2012.05.31,2012.05.07,2012.05.21
Prj1112191438474640161,100年11月豪雨,050,H3,臺東縣政府,齒草埔產業道路中段災害復建工程,長濱鄉,364,100,2012.08.29,2012.07.18,2012.08.29
Prj1112191429370510129,100年11月豪雨,051,H3,臺東縣政府,齒草埔產業道路後段災害復建工程,長濱鄉,2298.00,100,2012.09.30,2012.05.15,2012.09.12
Prj1112191409010430092,100年11月豪雨,052,H3,臺東縣政府,齒草埔產道前段災害復建工程,長濱鄉,3122.00,100,2012.09.30,2012.05.15,2012.09.12
Prj1108161623307890250,100年7月豪雨,001,A1,南投縣政府,永福村福長橋下災修復建工程,中寮鄉,1253.00,100,2012.03.31,2011.12.30,2012.02.13
Prj1108081541057540483,100年7月豪雨,002,A1,南投縣政府,竹山鎮街仔尾溪河床破損工程,竹山鎮,384,100,2012.01.31,2011.12.21,2012.01.09
Prj1108081437587010299,100年7月豪雨,003,A1,南投縣政府,埔里鎮史港里史港溪堤防災修工程,埔里鎮,665,100,2012.01.31,2011.12.22,2012.01.20
Prj1108081534153120465,100年7月豪雨,004,A1,南投縣政府,埔里鎮蜈蚣里乾溪護岸災修工程,埔里鎮,550,100,2012.01.31,2011.12.22,2012.01.20
Prj1108090846394910013,100年7月豪雨,005,A1,南投縣政府,草屯鎮南埔里青宅巷青宅溝災後復建工程,草屯鎮,1440.00,100,2012.02.02,2011.12.30,2012.02.02
Prj1108121314079202112,100年7月豪雨,001,C1,南投縣政府,中寮鄉投17線17k+100道路災修復建工程,中寮鄉,2311.00,100,2012.03.26,2012.01.31,2012.03.23
Prj1108031450287470242,100年7月豪雨,002,C1,南投縣政府,中寮鄉投17線18k+500災修復建工程,中寮鄉,354,100,2012.01.31,2012.01.11,2012.01.31
Prj1108121534294890005,100年7月豪雨,003,C1,南投縣政府,中寮鄉投17線19k+440災修復建工程,中寮鄉,4048.00,100,2012.03.31,2012.01.17,2012.03.22
Prj1108081405389300222,100年7月豪雨,007,C1,南投縣政府,竹山鎮投57線4K+000道路災修復建工程,竹山鎮,3826.00,100,2012.01.31,2011.12.16,2012.01.17
Prj1108151001238710055,100年7月豪雨,008,C1,南投縣政府,鹿谷鄉縣道131線45K+100道路災修復建工程,鹿谷鄉,675,100,2012.02.09,2011.12.30,2012.02.09
Prj1108081400315360169,100年7月豪雨,009,C1,南投縣政府,埔里鎮投65線3K+500及5K+500道路災修復建工程,埔里鎮,729,100,2012.01.31,2011.12.12,2011.01.30
Prj1108081326360750035,100年7月豪雨,010,C1,南投縣政府,埔里鎮投68線8k+000道路災修復建工程,埔里鎮,1010.00,100,2012.02.09,2011.12.12,2012.02.09
Prj1108081715158380086,100年7月豪雨,011,C1,南投縣政府,埔里鎮投69線0K+500道路災修復建工程,埔里鎮,1905.00,100,2012.03.31,2012.01.30,2012.03.09
Prj1108081252182410060,100年7月豪雨,012,C1,南投縣政府,埔里鎮投73線1k+500道路災修復建工程,埔里鎮,940,100,2012.01.31,2011.12.16,2012.01.31
Prj1108110914224840092,100年7月豪雨,013,C1,南投縣政府,埔里鎮投73線4K+400道路災修復建工程,埔里鎮,3198.00,100,2012.03.31,2012.01.30,2012.03.09
Prj1108161523462250214,100年7月豪雨,014,C1,南投縣政府,仁愛鄉投80線10K+100明隧道擋土牆掏空災修復建工程,仁愛鄉,30628.00,100,2012.12.31,2012.05.11,2012.12.28
Prj1108051457017760785,100年7月豪雨,015,C1,南投縣政府,仁愛鄉投83線14K+300道路災修復建工程,仁愛鄉,20698.00,100,2012.05.31,2012.01.13,2012.05.11
Prj1108051159038430620,100年7月豪雨,016,C1,南投縣政府,仁愛鄉投85線5K+100道路災修復建工程,仁愛鄉,421,100,2012.04.30,2012.02.06,2012.04.30
Prj1108151937218900474,100年7月豪雨,017,C1,南投縣政府,仁愛鄉投85線6K+700道路災修復建工程,仁愛鄉,1380.00,100,2012.04.30,2012.02.06,2012.04.30
Prj1108051417331980720,100年7月豪雨,018,C1,南投縣政府,仁愛鄉投89線15K+500道路災修復建工程,仁愛鄉,5176.00,100,2012.10.05,2012.01.18,2012.10.05
Prj1112191345350400045,100年11月豪雨,043,H3,臺東縣政府,南溪20鄰產業道路災害復建工程,長濱鄉,2747.00,100,2012.12.31,2012.05.23,2012.12.19
Prj1112191336529500021,100年11月豪雨,044,H3,臺東縣政府,南溪往20鄰聯外道路災害復建工程,長濱鄉,1375.00,100,2012.12.31,2012.05.23,2012.12.19
Prj1112191314455620000,100年11月豪雨,045,H3,臺東縣政府,南溪產業道路災害復建工程,長濱鄉,1081.00,100,2012.09.04,2012.06.28,2012.09.04
Prj1112191551166572466,100年11月豪雨,046,H3,臺東縣政府,界橋後山產業道路支線災害復建工程,長濱鄉,983,100,2012.07.07,2012.05.15,2012.07.07
Prj1112191559117062496,100年11月豪雨,047,H3,臺東縣政府,界橋產道災害復建工程,長濱鄉,4029.00,100,2012.11.10,2012.05.15,2012.11.09
Prj1112191541093092412,100年11月豪雨,048,H3,臺東縣政府,烏石鼻產業道路災害復建工程,長濱鄉,1667.00,100,2012.11.10,2012.05.15,2012.11.09
Prj1112191416396580105,100年11月豪雨,049,H3,臺東縣政府,齒草埔往移民產業道路災害復建工程,長濱鄉,181,100,2012.05.31,2012.05.07,2012.05.21
Prj1112191438474640161,100年11月豪雨,050,H3,臺東縣政府,齒草埔產業道路中段災害復建工程,長濱鄉,364,100,2012.08.29,2012.07.18,2012.08.29
Prj1112191429370510129,100年11月豪雨,051,H3,臺東縣政府,齒草埔產業道路後段災害復建工程,長濱鄉,2298.00,100,2012.09.30,2012.05.15,2012.09.12
Prj1112191409010430092,100年11月豪雨,052,H3,臺東縣政府,齒草埔產道前段災害復建工程,長濱鄉,3122.00,100,2012.09.30,2012.05.15,2012.09.12
Prj1108161623307890250,100年7月豪雨,001,A1,南投縣政府,永福村福長橋下災修復建工程,中寮鄉,1253.00,100,2012.03.31,2011.12.30,2012.02.13
Prj1108081541057540483,100年7月豪雨,002,A1,南投縣政府,竹山鎮街仔尾溪河床破損工程,竹山鎮,384,100,2012.01.31,2011.12.21,2012.01.09
Prj1108081437587010299,100年7月豪雨,003,A1,南投縣政府,埔里鎮史港里史港溪堤防災修工程,埔里鎮,665,100,2012.01.31,2011.12.22,2012.01.20
Prj1108081534153120465,100年7月豪雨,004,A1,南投縣政府,埔里鎮蜈蚣里乾溪護岸災修工程,埔里鎮,550,100,2012.01.31,2011.12.22,2012.01.20
Prj1108090846394910013,100年7月豪雨,005,A1,南投縣政府,草屯鎮南埔里青宅巷青宅溝災後復建工程,草屯鎮,1440.00,100,2012.02.02,2011.12.30,2012.02.02
Prj1108121314079202112,100年7月豪雨,001,C1,南投縣政府,中寮鄉投17線17k+100道路災修復建工程,中寮鄉,2311.00,100,2012.03.26,2012.01.31,2012.03.23
Prj1108031450287470242,100年7月豪雨,002,C1,南投縣政府,中寮鄉投17線18k+500災修復建工程,中寮鄉,354,100,2012.01.31,2012.01.11,2012.01.31
Prj1108121534294890005,100年7月豪雨,003,C1,南投縣政府,中寮鄉投17線19k+440災修復建工程,中寮鄉,4048.00,100,2012.03.31,2012.01.17,2012.03.22
Prj1108081405389300222,100年7月豪雨,007,C1,南投縣政府,竹山鎮投57線4K+000道路災修復建工程,竹山鎮,3826.00,100,2012.01.31,2011.12.16,2012.01.17
Prj1108151001238710055,100年7月豪雨,008,C1,南投縣政府,鹿谷鄉縣道131線45K+100道路災修復建工程,鹿谷鄉,675,100,2012.02.09,2011.12.30,2012.02.09
Prj1108081400315360169,100年7月豪雨,009,C1,南投縣政府,埔里鎮投65線3K+500及5K+500道路災修復建工程,埔里鎮,729,100,2012.01.31,2011.12.12,2011.01.30
Prj1108081326360750035,100年7月豪雨,010,C1,南投縣政府,埔里鎮投68線8k+000道路災修復建工程,埔里鎮,1010.00,100,2012.02.09,2011.12.12,2012.02.09
Prj1108081715158380086,100年7月豪雨,011,C1,南投縣政府,埔里鎮投69線0K+500道路災修復建工程,埔里鎮,1905.00,100,2012.03.31,2012.01.30,2012.03.09
Prj1108081252182410060,100年7月豪雨,012,C1,南投縣政府,埔里鎮投73線1k+500道路災修復建工程,埔里鎮,940,100,2012.01.31,2011.12.16,2012.01.31
Prj1108110914224840092,100年7月豪雨,013,C1,南投縣政府,埔里鎮投73線4K+400道路災修復建工程,埔里鎮,3198.00,100,2012.03.31,2012.01.30,2012.03.09
Prj1108161523462250214,100年7月豪雨,014,C1,南投縣政府,仁愛鄉投80線10K+100明隧道擋土牆掏空災修復建工程,仁愛鄉,30628.00,100,2012.12.31,2012.05.11,2012.12.28
Prj1108051457017760785,100年7月豪雨,015,C1,南投縣政府,仁愛鄉投83線14K+300道路災修復建工程,仁愛鄉,20698.00,100,2012.05.31,2012.01.13,2012.05.11
Prj1108051159038430620,100年7月豪雨,016,C1,南投縣政府,仁愛鄉投85線5K+100道路災修復建工程,仁愛鄉,421,100,2012.04.30,2012.02.06,2012.04.30
Prj1108151937218900474,100年7月豪雨,017,C1,南投縣政府,仁愛鄉投85線6K+700道路災修復建工程,仁愛鄉,1380.00,100,2012.04.30,2012.02.06,2012.04.30
Prj1108051417331980720,100年7月豪雨,018,C1,南投縣政府,仁愛鄉投89線15K+500道路災修復建工程,仁愛鄉,5176.00,100,2012.10.05,2012.01.18,2012.10.05
Prj1112191345350400045,100年11月豪雨,043,H3,臺東縣政府,南溪20鄰產業道路災害復建工程,長濱鄉,2747.00,100,2012.12.31,2012.05.23,2012.12.19
Prj1112191336529500021,100年11月豪雨,044,H3,臺東縣政府,南溪往20鄰聯外道路災害復建工程,長濱鄉,1375.00,100,2012.12.31,2012.05.23,2012.12.19
Prj1112191314455620000,100年11月豪雨,045,H3,臺東縣政府,南溪產業道路災害復建工程,長濱鄉,1081.00,100,2012.09.04,2012.06.28,2012.09.04
Prj1112191551166572466,100年11月豪雨,046,H3,臺東縣政府,界橋後山產業道路支線災害復建工程,長濱鄉,983,100,2012.07.07,2012.05.15,2012.07.07
Prj1112191559117062496,100年11月豪雨,047,H3,臺東縣政府,界橋產道災害復建工程,長濱鄉,4029.00,100,2012.11.10,2012.05.15,2012.11.09
Prj1112191541093092412,100年11月豪雨,048,H3,臺東縣政府,烏石鼻產業道路災害復建工程,長濱鄉,1667.00,100,2012.11.10,2012.05.15,2012.11.09
Prj1112191416396580105,100年11月豪雨,049,H3,臺東縣政府,齒草埔往移民產業道路災害復建工程,長濱鄉,181,100,2012.05.31,2012.05.07,2012.05.21
Prj1112191438474640161,100年11月豪雨,050,H3,臺東縣政府,齒草埔產業道路中段災害復建工程,長濱鄉,364,100,2012.08.29,2012.07.18,2012.08.29
Prj1112191429370510129,100年11月豪雨,051,H3,臺東縣政府,齒草埔產業道路後段災害復建工程,長濱鄉,2298.00,100,2012.09.30,2012.05.15,2012.09.12
Prj1112191409010430092,100年11月豪雨,052,H3,臺東縣政府,齒草埔產道前段災害復建工程,長濱鄉,3122.00,100,2012.09.30,2012.05.15,2012.09.12
